x001,x002,x003,x004,x005,x006,x007,x008,x009,x010,x011,x012,x013,x014,x015,x016,x017,x018,x019,x020,x021,x022,x023,x024,x025,x026,x027,x028,x029,x030,x031,x032,x033,x034,x035,x036,x037,x038,x039,x040,x041,x042,x043,x044,x045,x046,x047,x048,x049,x050,x051,x052,x053,x054,x055,x056,x057,x058,x059,x060,x061,x062,x063,x064,x065,x066,x067,x068,x069,x070,x071,x072,x073,x074,x075,x076,x077,x078,x079,x080,x081,x082,x083,x084,x085,x086,x087,x088,x089,x090,x091,x092,x093,x094,x095,x096,x097,x098,x099,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,class
1.000000,0.933993,0.551155,0.290429,0.174917,0.151815,0.112211,0.112211,0.092409,0.092409,0.066007,0.072607,0.046205,0.069307,0.062706,0.066007,0.049505,0.062706,0.066007,0.079208,0.062706,0.082508,0.069307,0.089109,0.075908,0.105611,0.105611,0.105611,0.128713,0.138614,0.161716,0.168317,0.168317,0.191419,0.181518,0.184818,0.168317,0.184818,0.165017,0.181518,0.158416,0.155116,0.151815,0.158416,0.148515,0.151815,0.148515,0.168317,0.165017,0.184818,0.181518,0.188119,0.168317,0.184818,0.171617,0.181518,0.165017,0.158416,0.161716,0.168317,0.151815,0.161716,0.145215,0.148515,0.138614,0.145215,0.132013,0.135314,0.128713,0.132013,0.138614,0.148515,0.207921,0.405941,0.617162,0.864686,0.894389,0.752475,0.389439,0.204620,0.085809,0.085809,0.052805,0.052805,0.023102,0.036304,0.013201,0.026403,0.006601,0.000000,0.003300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.951667,0.896667,0.266667,0.000000,0.240000,0.305000,0.271667,0.263333,0.266667,0.273333,0.273333,0.280000,0.273333,0.273333,0.285000,0.281667,0.278333,0.278333,0.281667,0.285000,0.275000,0.275000,0.285000,0.288333,0.283333,0.280000,0.288333,0.296667,0.295000,0.295000,0.301667,0.306667,0.305000,0.308333,0.318333,0.321667,0.313333,0.318333,0.326667,0.330000,0.325000,0.325000,0.328333,0.323333,0.306667,0.291667,0.283333,0.268333,0.256667,0.246667,0.246667,0.241667,0.236667,0.233333,0.235000,0.238333,0.236667,0.241667,0.241667,0.251667,0.245000,0.241667,0.253333,0.261667,0.258333,0.250000,0.253333,0.256667,0.251667,0.248333,0.255000,0.250000,0.240000,0.238333,0.243333,0.243333,0.236667,0.235000,0.240000,0.238333,0.235000,0.230000,0.233333,0.233333,0.235000,0.230000,0.235000,0.233333,0.235000,0.233333,0.233333,0.241667,0.251667,0.263333,0.266667,0.283333,0.285000,0.271667,0.280000,0.276667,0.258333,0.238333,0.230000,0.235000,0.226667,0.218333,0.225000,0.226667,0.216667,0.215000,0.223333,0.223333,0.223333,0.230000,0.231667,0.235000,0.240000,0.326667,0.638333,1.000000,0.730000,0.090000,0.036667,0.265000,0.276667,0.235000,0.241667,0.251667,0.246667,0.241667,0.250000,0.253333,0.250000,0.243333,0.250000,0.251667,0.246667,0.245000,0.251667,0.256667,0.246667,0.248333,0.251667,0.253333,0.253333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.000000,0.817232,0.177546,0.028721,0.206266,0.268930,0.300261,0.302872,0.313316,0.310705,0.315927,0.302872,0.331593,0.328982,0.328982,0.342037,0.362924,0.362924,0.391645,0.378590,0.415144,0.422976,0.449086,0.469974,0.477807,0.475196,0.498695,0.493473,0.483029,0.472585,0.462141,0.428198,0.407311,0.375979,0.357702,0.355091,0.344648,0.342037,0.352480,0.344648,0.347258,0.339426,0.339426,0.347258,0.342037,0.328982,0.347258,0.336815,0.349869,0.326371,0.339426,0.357702,0.386423,0.375979,0.396867,0.362924,0.368146,0.373368,0.362924,0.342037,0.352480,0.355091,0.323760,0.308094,0.292428,0.313316,0.310705,0.313316,0.292428,0.268930,0.490862,0.895561,0.926893,0.339426,0.000000,0.127937,0.242820,0.281984,0.297650,0.292428,0.295039,0.297650,0.305483,0.305483,0.326371,0.331593,0.336815,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.953431,0.759804,0.181373,0.093137,0.063725,0.068627,0.031863,0.029412,0.012255,0.063725,0.171569,0.284314,0.306373,0.345588,0.328431,0.345588,0.348039,0.328431,0.419118,0.377451,0.404412,0.441176,0.448529,0.470588,0.509804,0.529412,0.490196,0.544118,0.629902,0.588235,0.580882,0.485294,0.482843,0.436274,0.355392,0.289216,0.289216,0.313726,0.294118,0.178922,0.247549,0.269608,0.286765,0.210784,0.245098,0.276961,0.323529,0.151961,0.284314,0.284314,0.198529,0.252451,0.289216,0.203431,0.230392,0.242647,0.279412,0.237745,0.281863,0.335784,0.235294,0.276961,0.333333,0.343137,0.348039,0.370098,0.343137,0.281863,0.272059,0.188725,0.191176,0.200980,0.200980,0.188725,0.237745,0.198529,0.250000,0.269608,0.360294,0.781863,1.000000,0.404412,0.088235,0.068627,0.095588,0.022059,0.056373,0.000000,0.056373,0.120098,0.181373,0.232843,0.281863,0.330882,0.316176,0.362745,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.000000,0.812346,0.190123,0.212346,0.209877,0.182716,0.143210,0.111111,0.118519,0.214815,0.207407,0.350617,0.345679,0.385185,0.409877,0.367901,0.390123,0.434568,0.441975,0.412346,0.422222,0.451852,0.454321,0.488889,0.513580,0.520988,0.567901,0.540741,0.530864,0.555556,0.516049,0.513580,0.476543,0.459259,0.370370,0.330864,0.323457,0.274074,0.276543,0.256790,0.249383,0.279012,0.283951,0.303704,0.195062,0.256790,0.246914,0.244444,0.269136,0.291358,0.222222,0.254321,0.237037,0.281481,0.246914,0.234568,0.229630,0.224691,0.288889,0.271605,0.328395,0.362963,0.333333,0.333333,0.345679,0.254321,0.229630,0.207407,0.227160,0.219753,0.162963,0.214815,0.202469,0.190123,0.175309,0.219753,0.291358,0.434568,0.770370,0.829630,0.316049,0.088889,0.143210,0.111111,0.000000,0.027160,0.039506,0.027160,0.059259,0.200000,0.241975,0.232099,0.303704,0.328395,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.997585,0.917874,0.724638,0.299517,0.135266,0.190821,0.159420,0.108696,0.079710,0.074879,0.082126,0.101449,0.084541,0.084541,0.079710,0.099034,0.086957,0.070048,0.077295,0.084541,0.084541,0.079710,0.089372,0.091787,0.077295,0.086957,0.089372,0.108696,0.111111,0.115942,0.118357,0.142512,0.142512,0.147343,0.152174,0.176328,0.157005,0.152174,0.152174,0.166667,0.154589,0.140097,0.132850,0.144928,0.137681,0.115942,0.123188,0.120773,0.103865,0.101449,0.111111,0.115942,0.106280,0.096618,0.111111,0.120773,0.113527,0.113527,0.120773,0.130435,0.123188,0.123188,0.130435,0.144928,0.144928,0.142512,0.152174,0.171498,0.198068,0.217391,0.236715,0.253623,0.241546,0.214976,0.217391,0.195652,0.164251,0.120773,0.118357,0.128019,0.120773,0.106280,0.120773,0.120773,0.086957,0.000000,0.082126,0.328502,0.628019,0.884058,1.000000,0.922705,0.649758,0.212560,0.142512,0.195652,0.135266,0.070048,0.065217,0.072464,0.072464,0.060386,0.079710,0.084541,0.077295,0.077295,0.086957,0.091787,0.084541,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.000000,0.897959,0.299320,0.000000,0.163265,0.160998,0.083900,0.065760,0.079365,0.081633,0.065760,0.063492,0.072562,0.072562,0.061224,0.056689,0.061224,0.074830,0.070295,0.058957,0.079365,0.095238,0.092971,0.088435,0.111111,0.113379,0.115646,0.126984,0.145125,0.167800,0.192744,0.204082,0.247166,0.283447,0.292517,0.299320,0.335601,0.353741,0.340136,0.303855,0.276644,0.249433,0.188209,0.151927,0.133787,0.129252,0.099773,0.088435,0.090703,0.097506,0.083900,0.079365,0.081633,0.092971,0.090703,0.088435,0.102041,0.108844,0.104308,0.095238,0.099773,0.113379,0.099773,0.095238,0.104308,0.115646,0.106576,0.095238,0.102041,0.102041,0.092971,0.088435,0.097506,0.092971,0.088435,0.081633,0.086168,0.095238,0.083900,0.081633,0.086168,0.090703,0.079365,0.079365,0.083900,0.088435,0.072562,0.077098,0.086168,0.088435,0.077098,0.074830,0.088435,0.106576,0.126984,0.140590,0.140590,0.136054,0.115646,0.092971,0.077098,0.068027,0.070295,0.072562,0.077098,0.081633,0.070295,0.077098,0.086168,0.090703,0.079365,0.043084,0.151927,0.521542,0.947846,0.995465,0.526077,0.018141,0.126984,0.179138,0.115646,0.095238,0.088435,0.081633,0.090703,0.090703,0.081633,0.074830,0.086168,0.086168,0.079365,0.068027,0.083900,0.083900,0.092971,0.079365,0.099773,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.906103,0.539906,0.169014,0.065728,0.107981,0.065728,0.103286,0.122066,0.107981,0.093897,0.140845,0.112676,0.098592,0.107981,0.150235,0.112676,0.136150,0.136150,0.173709,0.173709,0.183099,0.183099,0.220657,0.206573,0.234742,0.225352,0.286385,0.258216,0.258216,0.258216,0.305164,0.258216,0.262911,0.286385,0.291080,0.220657,0.215962,0.192488,0.178404,0.126761,0.131455,0.131455,0.117371,0.075117,0.079812,0.070423,0.079812,0.046948,0.037559,0.056338,0.065728,0.023474,0.032864,0.032864,0.018779,0.000000,0.042254,0.023474,0.004695,0.000000,0.042254,0.023474,0.023474,0.037559,0.070423,0.028169,0.042254,0.051643,0.070423,0.065728,0.089202,0.093897,0.140845,0.178404,0.197183,0.183099,0.215962,0.145540,0.126761,0.103286,0.103286,0.056338,0.075117,0.075117,0.046948,0.000000,0.023474,0.023474,0.032864,0.018779,0.070423,0.079812,0.098592,0.107981,0.136150,0.154930,0.154930,0.154930,0.192488,0.169014,0.192488,0.103286,0.126761,0.253521,0.323944,0.352113,0.849765,1.000000,0.713615,0.295775,0.239437,0.253521,0.276995,0.248826,0.272300,0.276995,0.286385,0.281690,0.300469,0.305164,0.305164,0.300469,0.328638,0.342723,0.366197,0.342723,0.408451,0.408451,0.403756,0.394366,0.441315,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.000000,0.949710,0.485493,0.009671,0.067698,0.326886,0.425532,0.425532,0.419729,0.437137,0.439072,0.439072,0.446809,0.452611,0.452611,0.458414,0.470019,0.481625,0.483559,0.499033,0.514507,0.528046,0.529981,0.541586,0.553191,0.574468,0.578337,0.566731,0.578337,0.572534,0.572534,0.568665,0.564797,0.557060,0.543520,0.516441,0.499033,0.481625,0.456480,0.439072,0.423598,0.411992,0.410058,0.410058,0.411992,0.421663,0.421663,0.423598,0.441006,0.444874,0.429400,0.429400,0.448743,0.433269,0.417795,0.410058,0.410058,0.419729,0.408124,0.398453,0.402321,0.396518,0.388781,0.386847,0.384913,0.390716,0.382979,0.381044,0.386847,0.390716,0.388781,0.386847,0.381044,0.375242,0.379110,0.382979,0.386847,0.392650,0.382979,0.379110,0.388781,0.398453,0.396518,0.408124,0.435203,0.452611,0.439072,0.425532,0.419729,0.410058,0.394584,0.394584,0.384913,0.355899,0.346228,0.355899,0.375242,0.379110,0.361702,0.361702,0.367505,0.375242,0.379110,0.448743,0.651838,0.899420,0.920696,0.516441,0.000000,0.036750,0.330754,0.433269,0.408124,0.408124,0.415861,0.413927,0.427466,0.437137,0.437137,0.441006,0.448743,0.458414,0.468085,0.475822,0.491296,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.000000,0.383562,0.089041,0.095890,0.047945,0.047945,0.034247,0.013699,0.034247,0.041096,0.054795,0.061644,0.054795,0.061644,0.075342,0.061644,0.061644,0.068493,0.061644,0.061644,0.075342,0.082192,0.095890,0.089041,0.109589,0.102740,0.102740,0.102740,0.089041,0.061644,0.047945,0.027397,0.000000,0.006849,0.000000,0.041096,0.020548,0.013699,0.006849,0.020548,0.006849,0.006849,0.027397,0.020548,0.027397,0.034247,0.034247,0.047945,0.054795,0.075342,0.068493,0.082192,0.075342,0.075342,0.089041,0.102740,0.089041,0.109589,0.116438,0.130137,0.116438,0.130137,0.123288,0.130137,0.130137,0.136986,0.136986,0.143836,0.143836,0.130137,0.136986,0.171233,0.184932,0.212329,0.328767,0.397260,0.404110,0.383562,0.315068,0.253425,0.157534,0.095890,0.047945,0.061644,0.047945,0.068493,0.082192,0.089041,0.095890,0.082192,0.390411,0.904110,0.897260,0.287671,0.082192,0.089041,0.075342,0.054795,0.061644,0.075342,0.089041,0.061644,0.068493,0.068493,0.082192,0.102740,0.116438,0.109589,0.109589,0.123288,0.157534,0.136986,0.143836,0.164384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
