V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,class,target
14.65,nan,46.46,15.74,49.84,17.95,21.59,60.14,2.85,8.99,56.45,2.37,2.13,3.29,nan,10.91,21.93,6.68,13.17,15.83,9.46,nan,10.69,8.16,2.56,27.09,14.00,5.74,59.10,13.22,0.00,11.56,3.70,17.89,13.76,15.75,4,0.5272
13.97,nan,19.38,5.99,21.44,31.61,45.76,26.47,2.52,26.66,42.62,3.68,3.50,2.33,5.88,18.10,19.69,11.40,6.02,11.77,12.52,29.09,12.64,10.13,3.14,9.99,9.46,12.12,32.93,12.02,14.30,17.82,3.15,11.77,14.46,16.38,1,0.4937
12.14,53.27,62.25,11.42,28.51,33.03,42.41,52.27,4.68,25.59,58.58,4.28,nan,1.58,13.70,17.19,8.30,nan,13.39,14.31,11.30,43.46,8.90,8.52,4.99,23.51,21.96,7.64,25.71,12.50,23.18,14.60,4.08,5.87,6.52,14.25,2,0.5796
8.29,16.06,15.41,6.97,14.81,16.53,29.76,36.73,3.14,20.58,nan,2.85,2.92,3.82,11.15,nan,25.19,11.56,6.82,9.44,6.64,22.74,12.21,6.16,5.27,4.23,7.23,9.83,31.74,9.67,8.43,21.87,6.03,10.20,12.54,7.82,5,0.4098
10.02,47.28,45.67,10.43,13.07,nan,35.22,19.96,3.34,35.50,68.86,4.30,3.53,3.79,9.58,10.76,14.11,6.42,19.79,9.70,20.91,20.06,nan,7.07,2.75,10.81,22.19,8.50,nan,12.20,18.88,23.72,3.16,15.35,8.81,14.93,1,0.5465
8.43,22.89,46.00,9.28,43.92,17.07,0.00,58.35,3.13,16.48,28.90,3.31,2.45,nan,12.04,0.00,28.11,nan,9.55,18.32,nan,35.01,13.23,7.53,4.55,28.26,5.75,13.21,65.31,14.94,11.25,6.40,2.95,22.78,nan,7.66,4,0.4918
13.70,14.75,48.00,6.37,24.15,11.94,27.94,53.04,nan,21.86,38.61,3.74,2.77,4.31,8.98,7.84,25.05,3.57,6.66,22.16,9.31,39.56,17.21,5.07,3.00,26.82,14.23,5.23,49.47,19.00,10.05,10.55,3.78,20.06,7.94,9.47,4,0.4751
8.75,59.85,21.42,7.80,15.18,43.87,33.59,24.19,3.32,34.66,nan,4.82,2.55,4.94,10.56,17.53,21.83,7.62,nan,nan,16.68,28.71,11.62,9.88,2.93,9.15,19.13,18.41,30.44,9.16,18.64,nan,2.03,16.95,9.07,19.94,4,0.5162
12.53,50.05,39.98,11.58,18.99,nan,37.51,33.47,2.79,23.48,50.83,4.57,5.54,4.81,11.02,15.55,19.97,10.92,13.18,13.64,17.65,20.54,12.89,5.96,4.74,13.34,18.32,8.41,23.99,12.56,19.41,15.71,1.69,14.89,10.26,15.32,0,0.5220
9.36,49.43,40.88,nan,28.31,43.39,34.15,33.54,4.09,26.73,46.06,2.57,2.92,3.40,9.25,12.73,17.15,7.34,13.54,12.89,nan,21.86,11.35,10.33,3.82,13.20,19.16,8.70,34.24,11.10,nan,17.82,0.21,14.36,nan,19.80,1,0.5412
9.96,57.24,42.69,7.04,nan,44.33,19.40,39.81,1.48,32.34,47.20,3.14,4.61,3.21,9.32,16.44,12.67,6.69,16.29,19.36,17.50,35.72,13.86,6.68,2.73,10.87,12.23,13.45,38.27,3.22,12.56,9.90,nan,15.46,3.53,16.27,0,0.5158
nan,50.25,37.72,6.96,40.19,34.21,nan,29.82,3.28,30.05,44.46,6.14,2.54,3.05,12.20,17.12,14.78,8.49,10.94,nan,14.42,28.34,13.99,11.79,3.68,16.97,15.61,9.27,30.14,12.53,17.83,9.95,3.87,16.41,11.60,21.68,5,0.5520
6.73,46.12,43.04,7.04,34.01,31.65,23.77,nan,3.99,22.64,51.81,2.05,3.10,3.44,12.40,8.64,10.69,10.44,11.97,14.35,21.12,34.50,12.63,10.60,3.75,14.39,12.97,8.22,36.36,11.16,14.65,8.70,2.42,8.99,10.55,13.74,5,0.5110
9.78,50.37,25.06,3.50,11.94,28.13,32.01,21.17,nan,27.61,47.49,3.82,4.35,nan,nan,17.49,19.17,11.73,6.56,18.05,18.87,17.82,10.84,10.22,2.34,4.26,20.76,11.88,23.51,10.06,13.28,19.09,4.76,21.92,8.48,17.47,4,0.4675
13.83,32.46,35.43,6.97,27.75,17.81,34.57,39.46,2.97,19.26,64.05,2.76,4.63,2.77,13.08,12.96,16.31,12.13,12.29,11.74,13.84,19.42,11.84,7.12,2.82,12.38,15.32,6.91,30.20,10.59,10.76,13.62,2.38,12.08,13.21,12.53,1,0.4854
11.74,48.84,34.69,4.16,33.35,41.71,31.95,32.38,2.53,35.30,38.94,5.18,3.48,4.40,11.32,17.35,16.84,5.02,11.45,15.26,14.77,35.51,12.63,9.21,3.85,19.04,nan,17.03,50.91,13.33,14.56,12.95,3.74,14.31,12.87,22.44,5,0.5690
6.85,54.88,34.71,5.83,35.44,37.62,32.70,44.93,5.31,nan,33.25,2.52,2.52,4.25,15.25,15.98,13.31,7.60,5.37,18.67,nan,39.79,10.66,nan,3.27,13.95,nan,16.42,35.14,9.67,16.87,14.99,3.59,12.07,9.32,23.97,1,0.5382
